,Product_code,Warehouse,1 Month Forecast,MAE,MSE,RMSE,Mean,STD,MSE/Mean,RMSE/STD,KS Test Value,KS p-Value,Status
139,Product_0110,Whse_S...Sequential,288.6897716,1905.699738,8663546.324,2943.390277,172,363.2299547,50369.45537,8.103379799,0.666666667,0.007859014,retrain
140,Product_0111,Whse_J...Sequential,923.8545275,330.0993162,165974.8711,407.4001363,396,204.8658097,419.1284623,1.988619462,0.416666667,0.255775185,retrain
141,Product_0111,Whse_S...Sequential,1366.943942,3189.675979,16310533.97,4038.63021,145.5,193.2944645,112099.8898,20.89366718,1,7.40E-07,retrain
142,Product_0112,Whse_S...Sequential,-172.7110019,665.4768991,713518.8017,844.7004213,22,42.73172124,32432.6728,19.76752625,0.833333333,0.00020413,retrain
143,Product_0113,Whse_J...Sequential,4331.207058,2434.649654,8802813.994,2966.953656,3416.666667,2430.992024,2576.433364,1.220470337,0.416666667,0.255775185,retrain
144,Product_0114,Whse_J...Sequential,-50,83.33333333,8333.333333,91.28709292,50,50,166.6666667,1.825741858,0.333333333,0.930735931,deploy
145,Product_0115,Whse_J...Sequential,844.6958805,350.1306065,204435.9837,452.1459761,684.5,300.4142973,298.6646949,1.505074759,0.333333333,0.53609777,deploy and monitor
146,Product_0115,Whse_S...Sequential,2223.518402,1083.552985,1769281.317,1330.143345,1398,1024.112299,1265.580341,1.298825672,0.333333333,0.53609777,deploy and monitor
147,Product_0116,Whse_C...Sequential,28.71227044,216.9726291,65033.37677,255.0164245,124,75.27283707,524.4627159,3.387894418,0.416666667,0.255775185,retrain
148,Product_0116,Whse_J...Sequential,11.89705926,48.80755022,13700.48048,117.0490516,16,22.36067977,856.2800302,5.234592722,0.333333333,0.53609777,deploy and monitor
149,Product_0117,Whse_J...Sequential,145.2106786,127.87089,29422.3574,171.5294651,205.5,92.43781694,143.1744886,1.855620035,0.25,0.868981671,deploy
150,Product_0117,Whse_S...Sequential,1370.00095,591.3729253,852087.5081,923.0858617,796,571.3580314,1070.461694,1.615599696,0.25,0.868981671,deploy
151,Product_0118,Whse_J...Sequential,169.5977217,152.989668,33665.7275,183.4822267,213,100.1748471,158.0550587,1.831619732,0.416666667,0.255775185,retrain
152,Product_0118,Whse_S...Sequential,546.4694084,399.5138258,216941.1711,465.7694398,61.09090909,104.5452964,3551.12036,4.455192684,0.636363636,0.020739065,retrain
153,Product_0119,Whse_A...Sequential,-8.983715147,47.9599373,4302.450545,65.59306781,65.11111111,55.29204171,66.07859199,1.186302147,0.333333333,0.730111065,deploy
154,Product_0119,Whse_C...Sequential,60.00001,23.30000035,937.2502347,30.61454286,28.4,20.88635918,33.00176883,1.465767327,0.4,0.873015873,deploy
155,Product_0119,Whse_J...Sequential,24.00886621,43.94084492,2976.665916,54.55882986,29.125,18.07233729,102.2031216,3.018913879,0.25,0.98010878,deploy
156,Product_0120,Whse_A...Sequential,1766.789814,1962.84027,6114888.064,2472.829971,1535,942.8988988,3983.640433,2.622582309,0.166666667,0.998485294,deploy
157,Product_0121,Whse_A...Sequential,32.16670105,465.4564634,493745.1143,702.6699896,194.1666667,158.4013012,2542.893293,4.436011474,0.333333333,0.53609777,deploy and monitor
158,Product_0122,Whse_A...Sequential,4633.133092,3230.14376,14216064.78,3770.419708,5093.846154,2857.547465,2790.831201,1.319460046,0.461538462,0.126487703,retrain
159,Product_0123,Whse_A...Sequential,6391.567265,5131.415273,43397625.54,6587.68742,8392.5,2994.197514,5171.000958,2.200151256,0.333333333,0.53609777,deploy and monitor
160,Product_0124,Whse_J...Sequential,67.43700934,79.45579809,9586.38536,97.91008814,46.41666667,47.69601369,206.5289485,2.052793946,0.333333333,0.53609777,deploy and monitor
161,Product_0125,Whse_A...Sequential,-18.77782516,16.21241383,402.3425665,20.05847867,12.33333333,8.055363982,32.62237025,2.490077259,0.416666667,0.255775185,retrain
